Human ID,Mouse ID
ENSG00000116761,ENSMUSG00000022898
ENSG00000101695,ENSMUSG00000040713
ENSG00000080644,ENSMUSG00000096169
ENSG00000239810,ENSMUSG00000036412
ENSG00000150347,ENSMUSG00000027660
ENSG00000172464,ENSMUSG00000046676
ENSG00000113361,ENSMUSG00000071253
ENSG00000108654,ENSMUSG00000028979
ENSG00000099991,ENSMUSG00000058638
ENSG00000166153,ENSMUSG00000020562
ENSG00000292354,ENSMUSG00000031485
ENSG00000143393,ENSMUSG00000031503
ENSG00000176782,ENSMUSG00000069922
ENSG00000125741,ENSMUSG00000031876
ENSG00000078401,ENSMUSG00000023927
ENSG00000107672,ENSMUSG00000017146
ENSG00000123219,ENSMUSG00000025090
ENSG00000124491,ENSMUSG00000026237
ENSG00000138050,ENSMUSG00000041115
ENSG00000143493,ENSMUSG00000043923
ENSG00000101144,ENSMUSG00000054938
ENSG00000173918,ENSMUSG00000084136
ENSG00000111669,ENSMUSG00000048878
ENSG00000146414,ENSMUSG00000022674
ENSG00000178234,ENSMUSG00000040950
ENSG00000184985,ENSMUSG00000021950
ENSG00000158874,ENSMUSG00000003190
ENSG00000229637,ENSMUSG00000071573
ENSG00000283267,ENSMUSG00000042041
ENSG00000162086,ENSMUSG00000059687
ENSG00000128951,ENSMUSG00000000276
ENSG00000143167,ENSMUSG00000074183
ENSG00000085644,ENSMUSG00000022635
ENSG00000117143,ENSMUSG00000087598
ENSG00000143971,ENSMUSG00000022412
ENSG00000077348,ENSMUSG00000004359
ENSG00000135862,ENSMUSG00000040479
ENSG00000198225,ENSMUSG00000023707
ENSG00000270647,ENSMUSG00000024359
ENSG00000068308,ENSMUSG00000074261
ENSG00000075785,ENSMUSG00000031960
ENSG00000198804,ENSMUSG00000074607
ENSG00000132357,ENSMUSG00000055172
ENSG00000083720,ENSMUSG00000027286
ENSG00000278318,ENSMUSG00000060491
ENSG00000086159,ENSMUSG00000102222
ENSG00000198682,ENSMUSG00000025793
ENSG00000133055,ENSMUSG00000028591
ENSG00000084628,ENSMUSG00000026969
ENSG00000143320,ENSMUSG00000014158
ENSG00000145781,ENSMUSG00000023495
ENSG00000160678,ENSMUSG00000025823
ENSG00000078747,ENSMUSG00000060475
ENSG00000143674,ENSMUSG00000029729
ENSG00000133246,ENSMUSG00000030806
ENSG00000171960,ENSMUSG00000067064
ENSG00000220008,ENSMUSG00000050377
ENSG00000166233,ENSMUSG00000020354
ENSG00000168928,ENSMUSG00000022537
ENSG00000167004,ENSMUSG00000029219
ENSG00000153250,ENSMUSG00000020121
ENSG00000036054,ENSMUSG00000034813
ENSG00000095596,ENSMUSG00000095570
ENSG00000124557,ENSMUSG00000042111
ENSG00000269825,ENSMUSG00000020780
ENSG00000059573,ENSMUSG00000093957
ENSG00000074370,ENSMUSG00000049690
ENSG00000180543,ENSMUSG00000048299
ENSG00000129810,ENSMUSG00000063760
ENSG00000183726,ENSMUSG00000050777
ENSG00000075151,ENSMUSG00000043274
ENSG00000124143,ENSMUSG00000041966
ENSG00000275591,ENSMUSG00000017664
ENSG00000242173,ENSMUSG00000034473
ENSG00000213380,ENSMUSG00000034640
ENSG00000115718,ENSMUSG00000063060
ENSG00000053372,ENSMUSG00000031486
ENSG00000071462,ENSMUSG00000033499
ENSG00000112462,ENSMUSG00000008226
ENSG00000184378,ENSMUSG00000018656
ENSG00000007516,ENSMUSG00000022840
ENSG00000265808,ENSMUSG00000070374
ENSG00000138286,ENSMUSG00000003345
ENSG00000162398,ENSMUSG00000050756
ENSG00000152954,ENSMUSG00000094658
ENSG00000166311,ENSMUSG00000023909
ENSG00000179886,ENSMUSG00000037787
ENSG00000126247,ENSMUSG00000025491
ENSG00000156521,ENSMUSG00000056370
ENSG00000113194,ENSMUSG00000048919
ENSG00000086504,ENSMUSG00000096167
ENSG00000164627,ENSMUSG00000053907
ENSG00000120833,ENSMUSG00000041438
ENSG00000146828,ENSMUSG00000030793
ENSG00000163050,ENSMUSG00000030351
ENSG00000162377,ENSMUSG00000025139
ENSG00000075239,ENSMUSG00000048721
ENSG00000185615,ENSMUSG00000047369
ENSG00000291309,ENSMUSG00000002963
ENSG00000196263,ENSMUSG00000022401
ENSG00000127152,ENSMUSG00000048047
ENSG00000142789,ENSMUSG00000062352
ENSG00000250745,ENSMUSG00000070459
ENSG00000019102,ENSMUSG00000024053
ENSG00000134905,ENSMUSG00000022404
ENSG00000116133,ENSMUSG00000029712
ENSG00000166292,ENSMUSG00000038740
ENSG00000103018,ENSMUSG00000032733
ENSG00000144741,ENSMUSG00000026240
ENSG00000100564,ENSMUSG00000061208
ENSG00000094963,ENSMUSG00000032051
ENSG00000139131,ENSMUSG00000027566
ENSG00000170271,ENSMUSG00000031158
ENSG00000184012,ENSMUSG00000021986
ENSG00000101443,ENSMUSG00000027381
ENSG00000117479,ENSMUSG00000018570
ENSG00000215277,ENSMUSG00000033595
ENSG00000221926,ENSMUSG00000030551
ENSG00000050730,ENSMUSG00000008348
ENSG00000107611,ENSMUSG00000022508
ENSG00000080511,ENSMUSG00000024617
ENSG00000117523,ENSMUSG00000014956
ENSG00000067715,ENSMUSG00000073557
ENSG00000213934,ENSMUSG00000033597
ENSG00000061918,ENSMUSG00000008398
ENSG00000112494,ENSMUSG00000016831
ENSG00000138381,ENSMUSG00000050603
ENSG00000176239,ENSMUSG00000024158
ENSG00000088448,ENSMUSG00000026249
ENSG00000135919,ENSMUSG00000100608
ENSG00000110107,ENSMUSG00000042641
ENSG00000154025,ENSMUSG00000090173
ENSG00000166128,ENSMUSG00000093789
ENSG00000147416,ENSMUSG00000082229
ENSG00000130816,ENSMUSG00000020647
ENSG00000198300,ENSMUSG00000046435
ENSG00000100979,ENSMUSG00000038893
ENSG00000118007,ENSMUSG00000027983
ENSG00000214654,ENSMUSG00000022325
ENSG00000187955,ENSMUSG00000002833
ENSG00000253873,ENSMUSG00000002608
ENSG00000164326,ENSMUSG00000060716
ENSG00000198951,ENSMUSG00000054611
ENSG00000093217,ENSMUSG00000016346
ENSG00000122779,ENSMUSG00000043068
ENSG00000126970,ENSMUSG00000030120
ENSG00000163947,ENSMUSG00000026883
ENSG00000138161,ENSMUSG00000025609
ENSG00000133454,ENSMUSG00000078487
ENSG00000079950,ENSMUSG00000028837
ENSG00000105388,ENSMUSG00000068551
ENSG00000271271,ENSMUSG00000018604
ENSG00000269791,ENSMUSG00000027175
ENSG00000214113,ENSMUSG00000066269
ENSG00000152092,ENSMUSG00000009654
ENSG00000158987,ENSMUSG00000094149
ENSG00000170145,ENSMUSG00000005374
ENSG00000205268,ENSMUSG00000020843
ENSG00000171867,ENSMUSG00000058833
ENSG00000009844,ENSMUSG00000025396
ENSG00000068976,ENSMUSG00000024778
ENSG00000165912,ENSMUSG00000028544
ENSG00000270601,ENSMUSG00000028545
ENSG00000204165,ENSMUSG00000021947
ENSG00000136521,ENSMUSG00000047798
ENSG00000156802,ENSMUSG00000010505
ENSG00000128335,ENSMUSG00000023169
ENSG00000168090,ENSMUSG00000050241
ENSG00000112651,ENSMUSG00000032405
ENSG00000115457,ENSMUSG00000095754
ENSG00000060566,ENSMUSG00000060685
ENSG00000196639,ENSMUSG00000036244
ENSG00000143933,ENSMUSG00000005628
ENSG00000135002,ENSMUSG00000020396
ENSG00000120942,ENSMUSG00000075227
ENSG00000175768,ENSMUSG00000066964
ENSG00000167461,ENSMUSG00000040820
ENSG00000148773,ENSMUSG00000022426
ENSG00000107854,ENSMUSG00000049382
ENSG00000103174,ENSMUSG00000027519
ENSG00000118520,ENSMUSG00000061701
ENSG00000100024,ENSMUSG00000075376
ENSG00000175279,ENSMUSG00000033491
ENSG00000237700,ENSMUSG00000022000
ENSG00000205978,ENSMUSG00000031430
ENSG00000157191,ENSMUSG00000022245
ENSG00000143479,ENSMUSG00000011632
ENSG00000108784,ENSMUSG00000005533
ENSG00000182255,ENSMUSG00000054667
ENSG00000151320,ENSMUSG00000108931
ENSG00000178996,ENSMUSG00000044860
ENSG00000110719,ENSMUSG00000091844
ENSG00000160229,ENSMUSG00000023873
ENSG00000173200,ENSMUSG00000059230
ENSG00000212657,ENSMUSG00000051786
ENSG00000189046,ENSMUSG00000001348
ENSG00000196757,ENSMUSG00000049605
ENSG00000177374,ENSMUSG00000092080
ENSG00000198870,ENSMUSG00000021665
ENSG00000163166,ENSMUSG00000074060
ENSG00000221823,ENSMUSG00000031078
ENSG00000221970,ENSMUSG00000037364
ENSG00000134575,ENSMUSG00000085933
ENSG00000166483,ENSMUSG00000002014
ENSG00000141644,ENSMUSG00000016995
ENSG00000181552,ENSMUSG00000033610
ENSG00000167850,ENSMUSG00000090053
ENSG00000100918,ENSMUSG00000037086
ENSG00000163352,ENSMUSG00000021615
ENSG00000197753,ENSMUSG00000063821
ENSG00000163993,ENSMUSG00000078485
ENSG00000144959,ENSMUSG00000028182
ENSG00000243543,ENSMUSG00000041396
ENSG00000183971,ENSMUSG00000022475
ENSG00000161800,ENSMUSG00000029994
ENSG00000186393,ENSMUSG00000035557
ENSG00000137962,ENSMUSG00000032512
ENSG00000197343,ENSMUSG00000105589
ENSG00000175115,ENSMUSG00000005360
ENSG00000146409,ENSMUSG00000042219
ENSG00000147162,ENSMUSG00000024290
ENSG00000108469,ENSMUSG00000063382
ENSG00000073169,ENSMUSG00000063488
ENSG00000012124,ENSMUSG00000074028
ENSG00000010404,ENSMUSG00000038607
ENSG00000088543,ENSMUSG00000013611
ENSG00000267855,ENSMUSG00000004896
ENSG00000267127,ENSMUSG00000026546
ENSG00000058091,ENSMUSG00000023800
ENSG00000163507,ENSMUSG00000020900
ENSG00000050767,ENSMUSG00000020740
ENSG00000104872,ENSMUSG00000031957
ENSG00000134245,ENSMUSG00000032175
ENSG00000292373,ENSMUSG00000048988
ENSG00000174982,ENSMUSG00000029446
ENSG00000087253,ENSMUSG00000038456
ENSG00000186111,ENSMUSG00000051258
ENSG00000187049,ENSMUSG00000033596
ENSG00000165389,ENSMUSG00000035024
ENSG00000235109,ENSMUSG00000037958
ENSG00000108578,ENSMUSG00000095341
ENSG00000101542,ENSMUSG00000039903
ENSG00000013375,ENSMUSG00000051663
ENSG00000105808,ENSMUSG00000042848
ENSG00000139330,ENSMUSG00000059325
ENSG00000165943,ENSMUSG00000033543
ENSG00000185722,ENSMUSG00000042198
ENSG00000086189,ENSMUSG00000021508
ENSG00000183765,ENSMUSG00000037656
ENSG00000164741,ENSMUSG00000035958
ENSG00000113742,ENSMUSG00000023267
ENSG00000213626,ENSMUSG00000061479
ENSG00000168152,ENSMUSG00000055322
ENSG00000111678,ENSMUSG00000103472
ENSG00000164294,ENSMUSG00000034329
ENSG00000165424,ENSMUSG00000073010
ENSG00000154240,ENSMUSG00000066235
ENSG00000131686,ENSMUSG00000022971
ENSG00000071282,ENSMUSG00000095505
ENSG00000215203,ENSMUSG00000022788
ENSG00000138079,ENSMUSG00000032548
ENSG00000153896,ENSMUSG00000079259
ENSG00000178726,ENSMUSG00000037325
ENSG00000100320,ENSMUSG00000024277
ENSG00000115514,ENSMUSG00000078721
ENSG00000174460,ENSMUSG00000033498
ENSG00000137801,ENSMUSG00000071112
ENSG00000137434,ENSMUSG00000005886
ENSG00000087191,ENSMUSG00000071281
ENSG00000250506,ENSMUSG00000037813
ENSG00000185619,ENSMUSG00000073267
ENSG00000196353,ENSMUSG00000075569
ENSG00000072110,ENSMUSG00000005732
ENSG00000196187,ENSMUSG00000055942
ENSG00000128805,ENSMUSG00000028005
ENSG00000175416,ENSMUSG00000027550
ENSG00000065978,ENSMUSG00000004994
ENSG00000168288,ENSMUSG00000020260
ENSG00000137965,ENSMUSG00000060427
ENSG00000143476,ENSMUSG00000050786
ENSG00000136603,ENSMUSG00000026289
ENSG00000196091,ENSMUSG00000015189
ENSG00000225663,ENSMUSG00000044906
ENSG00000167664,ENSMUSG00000067684
ENSG00000183560,ENSMUSG00000017004
ENSG00000108423,ENSMUSG00000022338
ENSG00000140474,ENSMUSG00000096049
ENSG00000196159,ENSMUSG00000026514
ENSG00000170099,ENSMUSG00000009640
ENSG00000103266,ENSMUSG00000028199
ENSG00000185860,ENSMUSG00000076437
ENSG00000183091,ENSMUSG00000029076
ENSG00000158457,ENSMUSG00000028456
ENSG00000124731,ENSMUSG00000039354
ENSG00000171992,ENSMUSG00000046441
ENSG00000119913,ENSMUSG00000003452
ENSG00000076351,ENSMUSG00000039662
ENSG00000188981,ENSMUSG00000025899
ENSG00000100767,ENSMUSG00000043448
ENSG00000177602,ENSMUSG00000042251
ENSG00000124571,ENSMUSG00000030035
ENSG00000132749,ENSMUSG00000016756
ENSG00000159352,ENSMUSG00000017832
ENSG00000196275,ENSMUSG00000060216
ENSG00000240432,ENSMUSG00000030270
ENSG00000166450,ENSMUSG00000037640
ENSG00000163293,ENSMUSG00000071648
ENSG00000187624,ENSMUSG00000070458
ENSG00000131116,ENSMUSG00000027634
ENSG00000116962,ENSMUSG00000035297
ENSG00000170854,ENSMUSG00000051079
ENSG00000180044,ENSMUSG00000030681
ENSG00000164463,ENSMUSG00000052056
ENSG00000197226,ENSMUSG00000020399
ENSG00000185352,ENSMUSG00000032507
ENSG00000119328,ENSMUSG00000026455
ENSG00000150337,ENSMUSG00000070979
ENSG00000134028,ENSMUSG00000018238
ENSG00000180573,ENSMUSG00000079628
ENSG00000158246,ENSMUSG00000031299
ENSG00000155975,ENSMUSG00000028081
ENSG00000124541,ENSMUSG00000031442
ENSG00000178537,ENSMUSG00000044150
ENSG00000063127,ENSMUSG00000057409
ENSG00000143416,ENSMUSG00000001119
ENSG00000188976,ENSMUSG00000041278
ENSG00000203989,ENSMUSG00000079477
ENSG00000171564,ENSMUSG00000003438
ENSG00000117400,ENSMUSG00000026617
ENSG00000105278,ENSMUSG00000028223
ENSG00000175224,ENSMUSG00000075273
ENSG00000001629,ENSMUSG00000043013
ENSG00000271605,ENSMUSG00000050815
ENSG00000169919,ENSMUSG00000068535
ENSG00000163660,ENSMUSG00000032680
ENSG00000187116,ENSMUSG00000048126
ENSG00000095777,ENSMUSG00000024936
ENSG00000204880,ENSMUSG00000055194
ENSG00000138813,ENSMUSG00000034361
ENSG00000040199,ENSMUSG00000031131
ENSG00000167528,ENSMUSG00000031340
ENSG00000182220,ENSMUSG00000039908
ENSG00000204424,ENSMUSG00000020321
ENSG00000198715,ENSMUSG00000029093
ENSG00000166289,ENSMUSG00000027355
ENSG00000126251,ENSMUSG00000095448
ENSG00000273756,ENSMUSG00000025332
ENSG00000101282,ENSMUSG00000032377
ENSG00000196378,ENSMUSG00000025189
ENSG00000213401,ENSMUSG00000029288
ENSG00000167635,ENSMUSG00000038756
ENSG00000116459,ENSMUSG00000006392
ENSG00000158062,ENSMUSG00000019815
ENSG00000107736,ENSMUSG00000040723
ENSG00000130340,ENSMUSG00000032537
ENSG00000125970,ENSMUSG00000054978
ENSG00000167617,ENSMUSG00000042796
ENSG00000125149,ENSMUSG00000102122
ENSG00000120509,ENSMUSG00000034800
ENSG00000120688,ENSMUSG00000022283
ENSG00000146707,ENSMUSG00000064030
ENSG00000273540,ENSMUSG00000025732
ENSG00000184160,ENSMUSG00000067424
ENSG00000126698,ENSMUSG00000064357
ENSG00000159231,ENSMUSG00000032077
ENSG00000147853,ENSMUSG00000061769
ENSG00000121774,ENSMUSG00000032285
ENSG00000134321,ENSMUSG00000024235
ENSG00000240403,ENSMUSG00000090655
ENSG00000125813,ENSMUSG00000045566
ENSG00000160613,ENSMUSG00000017548
ENSG00000161204,ENSMUSG00000006389
ENSG00000203879,ENSMUSG00000004651
ENSG00000173275,ENSMUSG00000032688
ENSG00000106683,ENSMUSG00000028127
ENSG00000230062,ENSMUSG00000067942
ENSG00000136758,ENSMUSG00000049307
ENSG00000094914,ENSMUSG00000044444
ENSG00000010072,ENSMUSG00000057134
ENSG00000188817,ENSMUSG00000034384
ENSG00000176092,ENSMUSG00000063672
ENSG00000166930,ENSMUSG00000079580
ENSG00000060749,ENSMUSG00000022048
ENSG00000089775,ENSMUSG00000083361
ENSG00000176444,ENSMUSG00000048856
ENSG00000168269,ENSMUSG00000075139
ENSG00000174886,ENSMUSG00000101480
ENSG00000105409,ENSMUSG00000041845
ENSG00000284730,ENSMUSG00000035585
ENSG00000176774,ENSMUSG00000022798
ENSG00000198934,ENSMUSG00000029397
ENSG00000165119,ENSMUSG00000090527
ENSG00000125166,ENSMUSG00000062128
ENSG00000068796,ENSMUSG00000073434
ENSG00000142538,ENSMUSG00000095845
ENSG00000171848,ENSMUSG00000028649
ENSG00000131969,ENSMUSG00000028417
ENSG00000091262,ENSMUSG00000092544
ENSG00000137691,ENSMUSG00000022366
ENSG00000183463,ENSMUSG00000043419
ENSG00000101182,ENSMUSG00000035678
ENSG00000205329,ENSMUSG00000052751
ENSG00000129910,ENSMUSG00000035270
ENSG00000111641,ENSMUSG00000009633
ENSG00000185467,ENSMUSG00000044734
ENSG00000047188,ENSMUSG00000037771
ENSG00000155970,ENSMUSG00000026611
ENSG00000131876,ENSMUSG00000090093
ENSG00000107831,ENSMUSG00000059411
ENSG00000215883,ENSMUSG00000049658
ENSG00000164053,ENSMUSG00000028807
ENSG00000138449,ENSMUSG00000032381
ENSG00000145390,ENSMUSG00000024799
ENSG00000179873,ENSMUSG00000069806
ENSG00000233056,ENSMUSG00000032899
ENSG00000136297,ENSMUSG00000036707
ENSG00000132467,ENSMUSG00000033022
ENSG00000204882,ENSMUSG00000047286
ENSG00000205903,ENSMUSG00000024771
ENSG00000081026,ENSMUSG00000025085
ENSG00000169116,ENSMUSG00000048077
ENSG00000284194,ENSMUSG00000013338
ENSG00000203734,ENSMUSG00000034903
ENSG00000125255,ENSMUSG00000051007
ENSG00000124193,ENSMUSG00000084989
ENSG00000151789,ENSMUSG00000026634
ENSG00000109101,ENSMUSG00000074780
ENSG00000196218,ENSMUSG00000024669
ENSG00000182718,ENSMUSG00000031634
ENSG00000075790,ENSMUSG00000067173
ENSG00000163519,ENSMUSG00000036782
ENSG00000172086,ENSMUSG00000051703
ENSG00000156639,ENSMUSG00000055298
ENSG00000168653,ENSMUSG00000025578
ENSG00000134444,ENSMUSG00000050799
ENSG00000118432,ENSMUSG00000036499
ENSG00000138744,ENSMUSG00000044542
ENSG00000148110,ENSMUSG00000058297
ENSG00000197056,ENSMUSG00000040124
ENSG00000255374,ENSMUSG00000050468
ENSG00000198854,ENSMUSG00000035373
ENSG00000204382,ENSMUSG00000022456
ENSG00000127328,ENSMUSG00000032009
ENSG00000164039,ENSMUSG00000025423
ENSG00000131023,ENSMUSG00000005824
ENSG00000105928,ENSMUSG00000037411
ENSG00000163424,ENSMUSG00000027193
ENSG00000206356,ENSMUSG00000050463
ENSG00000119537,ENSMUSG00000078260
ENSG00000075673,ENSMUSG00000026946
ENSG00000168214,ENSMUSG00000020620
ENSG00000183706,ENSMUSG00000020364
ENSG00000067167,ENSMUSG00000027010
ENSG00000198838,ENSMUSG00000030982
ENSG00000082213,ENSMUSG00000032320
ENSG00000010932,ENSMUSG00000039298
ENSG00000169895,ENSMUSG00000021182
ENSG00000100105,ENSMUSG00000029813
ENSG00000185414,ENSMUSG00000004872
ENSG00000138792,ENSMUSG00000024032
ENSG00000170142,ENSMUSG00000022900
ENSG00000189052,ENSMUSG00000044819
ENSG00000196923,ENSMUSG00000038119
ENSG00000163686,ENSMUSG00000023140
ENSG00000231824,ENSMUSG00000042604
ENSG00000148734,ENSMUSG00000025986
ENSG00000016602,ENSMUSG00000053297
ENSG00000168071,ENSMUSG00000073913
ENSG00000129467,ENSMUSG00000024142
ENSG00000121988,ENSMUSG00000094978
ENSG00000147596,ENSMUSG00000031725
ENSG00000167757,ENSMUSG00000070733
ENSG00000101333,ENSMUSG00000028700
ENSG00000240542,ENSMUSG00000109368
ENSG00000172824,ENSMUSG00000071547
ENSG00000140577,ENSMUSG00000104043
ENSG00000204444,ENSMUSG00000031491
ENSG00000100241,ENSMUSG00000037159
ENSG00000180891,ENSMUSG00000079177
ENSG00000162616,ENSMUSG00000027377
ENSG00000145332,ENSMUSG00000010592
ENSG00000002330,ENSMUSG00000030162
ENSG00000181963,ENSMUSG00000042942
ENSG00000184007,ENSMUSG00000032121
ENSG00000165806,ENSMUSG00000021893
ENSG00000130385,ENSMUSG00000024538
ENSG00000188037,ENSMUSG00000032553
ENSG00000092067,ENSMUSG00000025509
ENSG00000054803,ENSMUSG00000059023
ENSG00000123737,ENSMUSG00000017144
ENSG00000110619,ENSMUSG00000041697
ENSG00000150776,ENSMUSG00000102802
ENSG00000186073,ENSMUSG00000036216
ENSG00000119402,ENSMUSG00000044043
ENSG00000204947,ENSMUSG00000031987
ENSG00000120254,ENSMUSG00000039990
ENSG00000189030,ENSMUSG00000039901
ENSG00000212721,ENSMUSG00000040809
ENSG00000086758,ENSMUSG00000099443
ENSG00000111052,ENSMUSG00000021027
ENSG00000144182,ENSMUSG00000093865
ENSG00000171056,ENSMUSG00000062822
ENSG00000176641,ENSMUSG00000025314
ENSG00000214978,ENSMUSG00000017740
ENSG00000275410,ENSMUSG00000051257
ENSG00000198853,ENSMUSG00000074437
ENSG00000241127,ENSMUSG00000031327
ENSG00000065150,ENSMUSG00000014725
ENSG00000196531,ENSMUSG00000053094
ENSG00000159210,ENSMUSG00000025078
ENSG00000157119,ENSMUSG00000074965
ENSG00000179242,ENSMUSG00000071691
ENSG00000155666,ENSMUSG00000058586
ENSG00000110066,ENSMUSG00000031753
ENSG00000174444,ENSMUSG00000022501
ENSG00000164211,ENSMUSG00000029311
ENSG00000250479,ENSMUSG00000020069
ENSG00000065802,ENSMUSG00000029098
ENSG00000156990,ENSMUSG00000025815
ENSG00000130545,ENSMUSG00000047253
ENSG00000112031,ENSMUSG00000035923
